날짜,시:분,온도 (℃),습도 (%),CO2 (ppm),토양온도 (℃),토양 EC (dS/m),토양수분 (%),일사 (w/㎡),EC (dS/m),pH (pH)
2022-06-20,23:00,24.51,86.08,356.42,26.16,0.56,25.29,0,3.8,7.98
2022-06-20,22:00,24.91,84.99,340.33,26.63,0.57,25.2,0,3.87,7.93
2022-06-20,21:00,25.17,82.04,328.25,27.08,0.57,25.13,0,3.92,7.83
2022-06-20,20:00,25.18,77.76,311.5,27.57,0.57,25.04,0,3.89,7.73
2022-06-20,19:00,25.75,73.56,308.25,28.37,0.57,24.98,15.1,3.9,7.61
2022-06-20,18:00,27.79,67.92,293.92,29.63,0.59,24.84,71.8,4.07,7.52
2022-06-20,17:00,30.22,62.83,282,30.68,0.58,24.87,159.3,4.06,7.49
2022-06-20,16:00,32.28,59.65,282.58,31.46,0.59,24.98,279.73,4.03,7.48
2022-06-20,15:00,33.61,57.38,277.67,32,0.58,25.03,314.77,3.95,7.5
2022-06-20,14:00,34.86,57.78,277.92,32.1,0.56,24.97,327.11,3.9,7.57
2022-06-20,13:00,35.18,59.24,280,31.7,0.55,25.13,296.62,3.8,7.7
2022-06-20,12:00,34.24,56.58,284,30.83,0.55,25.29,274.4,3.75,7.81
2022-06-20,11:00,33.55,59.2,286.42,29.99,0.55,25.48,273.14,3.68,7.89
2022-06-20,10:00,31.71,63,290.33,28.69,0.55,25.78,255.92,3.57,7.95
2022-06-20,9:00,30.87,65.44,296,27.46,0.54,25.93,299.76,3.58,8.1
2022-06-20,8:00,28.06,73.19,302.58,25.73,0.54,26.05,224.1,3.46,8.07
2022-06-20,7:00,25.29,84.48,318.67,24.24,0.53,25.85,148.07,3.49,7.97
2022-06-20,6:00,23.06,91.48,382.25,23.63,0.54,25.9,67.56,3.53,8
2022-06-20,5:00,22.62,92.2,426.64,23.82,0.55,25.88,8.17,3.55,7.97
2022-06-20,4:00,22.98,91.93,440.08,24.11,0.54,25.8,0,3.53,7.94
2022-06-20,3:00,23.12,91.53,436.83,24.4,0.55,25.75,0,3.6,7.9
2022-06-20,2:00,23.37,91.58,420.17,24.78,0.54,25.7,0,3.58,7.85
2022-06-20,1:00,23.81,91.42,402.92,25.25,0.55,25.63,0,3.63,7.8
2022-06-20,0:00,24.52,90.54,388.25,25.69,0.55,25.6,0,3.64,7.78
2022-06-21,23:00,24.56,85.65,371.75,26.22,0.57,25.39,0,3.83,7.87
2022-06-21,22:00,24.82,84.58,354.58,26.65,0.57,25.31,0,3.82,7.79
2022-06-21,21:00,24.96,82.88,334.75,27.04,0.58,25.23,0,3.92,7.7
2022-06-21,20:00,24.85,79.71,321.17,27.5,0.57,25.14,0,3.91,7.59
2022-06-21,19:00,25.62,72.26,302.17,28.43,0.58,25.01,9.69,4,7.46
2022-06-21,18:00,27.13,67.7,294.67,29.55,0.59,24.91,45.87,4.02,7.35
2022-06-21,17:00,29.21,63.31,296.42,30.67,0.59,24.91,90.31,4.1,7.25
2022-06-21,16:00,31.58,59.79,294.67,31.68,0.59,24.93,143.59,4.08,7.24
2022-06-21,15:00,33,57.5,300.67,32.37,0.59,24.82,187.67,4.05,7.22
2022-06-21,14:00,34.64,56.62,294.92,32.93,0.58,24.81,219.13,3.98,7.24
2022-06-21,13:00,36.55,54.25,295.58,33.2,0.56,24.91,349.61,3.71,7.42
2022-06-21,12:00,36.62,55.32,295.25,32.4,0.55,25.03,411.36,3.87,7.65
2022-06-21,11:00,35.31,60.62,297.08,31.15,0.55,25.3,393.65,3.76,7.78
2022-06-21,10:00,33.72,63.13,303.67,29.51,0.55,25.67,350.67,3.59,7.92
2022-06-21,9:00,31.02,69.55,298,27.7,0.54,25.78,326.17,3.62,7.99
2022-06-21,8:00,28.19,76.88,300.75,25.91,0.54,25.84,212.25,3.55,7.96
2022-06-21,7:00,25.32,85.3,313,24.52,0.53,25.59,134.72,3.55,8.03
2022-06-21,6:00,23.59,92.63,385.75,23.95,0.54,25.68,45.3,3.6,8.07
2022-06-21,5:00,23.02,93.1,419.58,23.94,0.55,25.67,0,3.62,8.09
2022-06-21,4:00,23.12,92.28,434.45,24.13,0.56,25.6,0,3.68,8.09
2022-06-21,3:00,23.1,91.03,427.25,24.3,0.55,25.58,0,3.67,8.12
2022-06-21,2:00,23.09,89.75,410.42,24.58,0.56,25.5,0,3.75,8.11
2022-06-21,1:00,23.39,88.81,398.25,25.04,0.56,25.44,0,3.76,8.08
2022-06-21,0:00,23.86,87.78,373.08,25.57,0.56,25.38,0,3.78,8.04
2022-06-22,23:00,22.92,90.22,354.92,24.78,0.56,25.64,0,3.69,7.83
2022-06-22,22:00,22.95,88.42,332,25.33,0.57,25.57,0,3.77,7.69
2022-06-22,21:00,23.31,86.2,317,26.04,0.58,25.45,0,3.84,7.52
2022-06-22,20:00,23.8,82.56,303.25,27.1,0.58,25.31,0,3.87,7.32
2022-06-22,19:00,25.6,75.1,301.58,28.45,0.58,25.18,5.78,3.9,7.16
